date,currency,rate,yr,qtr,mth,wk,dte
2017-01-04,SA RAND,7.4589,2017,1,1,1,4
2017-01-04,KSH/USHS,35.2097,2017,1,1,1,4
2017-01-04,KSH/TSHS,21.2328,2017,1,1,1,4
2017-01-04,KSH/RWF,8.1084,2017,1,1,1,4
2017-01-04,KSH/BIF,16.4173,2017,1,1,1,4
2017-01-04,AE DIRHAM,27.9907,2017,1,1,1,4
2017-01-04,CANADIAN DOLLAR,76.4606,2017,1,1,1,4
2017-01-04,S FRANC,99.7747,2017,1,1,1,4
2017-01-04,JPY(100),87.0152,2017,1,1,1,4
2017-01-04,SW KRONER,11.2031,2017,1,1,1,4
2017-01-04,NOR KRONER,11.852,2017,1,1,1,4
2017-01-04,DAN KRONER,14.3633,2017,1,1,1,4
2017-01-04,IND RUPEE,1.5034,2017,1,1,1,4
2017-01-04,HONGKONG DOLLAR,13.2549,2017,1,1,1,4
